"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"20/06/2017",1826,"M62","Dry",7,"Dark","Fine without high winds",19,1,3,1,20
1,"21/06/2017",1750,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,19
1,"22/06/2017",1656,"A641","Dry",1,"Daylight","Fine without high winds",9,3,1,1,57
3,"23/06/2017",2023,"A641","Wet/Damp",7,"Dark","Fine without high winds",9,1,3,1,26
2,"23/06/2017",2125,"A62","Dry",7,"Dark","Fine without high winds",9,2,3,2,38
1,"24/06/2017",1032,"B6113","Dry",1,"Daylight","Fine without high winds",9,3,2,1,64
2,"24/06/2017",1157,"A58","Dry",1,"Daylight","Fine without high winds",9,1,3,2,58
1,"24/06/2017",1900,"U","Dry",7,"Dark","Fine without high winds",9,3,3,1,13
1,"24/06/2017",2056,"U","Dry",7,"Dark","Fine without high winds",9,3,3,2,14
2,"26/06/2017",1432,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,30
3,"28/06/2017",721,"M62","Wet/Damp",7,"Dark","Raining without high winds",9,1,3,1,25
2,"29/06/2017",1800,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,7
3,"29/06/2017",1215,"A6139","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,1,6
2,"29/06/2017",1640,"A641","Dry",1,"Daylight","Fine without high winds",1,1,3,1,49
2,"01/07/2017",1330,"A58","Dry",1,"Daylight","Fine without high winds",9,1,2,1,23
2,"01/07/2017",1636,"A629","Dry",1,"Daylight","Fine without high winds",9,1,2,1,48
2,"02/07/2017",1732,"A646","Dry",7,"Dark","Fine without high winds",1,1,3,1,39
1,"02/07/2017",1520,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,10
2,"02/07/2017",2236,"A646","Dry",4,"Dark","Fine without high winds",9,1,3,2,30
2,"03/07/2017",2200,"U","Dry",7,"Dark","Fine without high winds",19,1,3,1,43
1,"07/07/2017",1341,"U","Dry",1,"Daylight","Fine without high winds",8,3,3,1,41
2,"07/07/2017",2300,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,20
2,"08/07/2017",1151,"U","Dry",1,"Daylight","Fine without high winds",9,2,3,2,44
3,"08/07/2017",1207,"B6112","Dry",1,"Daylight","Fine without high winds",9,1,3,1,54
2,"08/07/2017",1915,"U","Dry",7,"Dark","Other",9,1,3,2,40
1,"08/07/2017",1950,"U","Dry",7,"Dark","Fine without high winds",9,3,3,2,3
2,"08/07/2017",2140,"U","Dry",7,"Dark","Fine without high winds",3,1,3,1,18
2,"09/07/2017",1610,"U","Dry",1,"Daylight","Fine without high winds",1,1,3,1,14
1,"09/07/2017",1642,"U","Dry",1,"Daylight","Fine without high winds",19,3,3,2,5
2,"10/07/2017",1926,"U","Dry",7,"Dark","Fine without high winds",9,2,3,2,18
1,"10/07/2017",1931,"U","Dry",7,"Dark","Fine without high winds",9,3,3,1,4
2,"13/07/2017",907,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,35
1,"15/07/2017",1510,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,14
2,"15/07/2017",2241,"A646","Dry",4,"Dark","Fine without high winds",9,1,3,1,21
2,"16/07/2017",1357,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,31
2,"17/07/2017",849,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,9
2,"19/07/2017",750,"A6036","Dry",1,"Daylight","Fine without high winds",9,1,3,1,35
2,"19/07/2017",1114,"A644","Dry",1,"Daylight","Fine without high winds",9,1,2,1,63
2,"20/07/2017",843,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,38
2,"20/07/2017",859,"B6112","Dry",1,"Daylight","Fine without high winds",9,1,3,2,29
2,"21/07/2017",1758,"M62","Dry",7,"Dark","Fine without high winds",9,1,3,2,26
1,"29/07/2017",40,"U","Wet/Damp",4,"Dark","Fine without high winds",8,1,3,1,49
