"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
3,"28/05/2016",1016,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,46
1,"29/05/2016",2018,"Unclassified","dry",1,"Daylight","Fine without high winds",5,1,3,1,60
1,"30/05/2016",1735,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,2,1,15
3,"31/05/2016",1603,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,20
3,"31/05/2016",1603,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,21
3,"31/05/2016",1603,"A","dry",1,"Daylight","Fine without high winds",19,1,3,1,28
2,"31/05/2016",1750,"Unclassified","dry",1,"Daylight","Fine without high winds",23,1,3,1,16
2,"02/06/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,37
2,"02/06/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,10
2,"02/06/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,12
1,"05/06/2016",1342,"Unclassified","dry",1,"Daylight","Fine without high winds",8,3,2,1,1
1,"06/06/2016",1300,"Unclassified","dry",1,"Daylight","Fine without high winds",8,3,3,1,36
3,"11/06/2016",2035,"Unclassified","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,63
3,"11/06/2016",2035,"Unclassified","Wet/Damp",4,"Dark","Raining without high winds",9,2,3,1,25
2,"12/06/2016",1248,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,65
2,"14/06/2016",2132,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,25
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,1,31
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,2,27
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,1,9
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,2,7
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,1,1
2,"18/06/2016",1315,"A","dry",1,"Daylight","Fine without high winds",8,2,3,2,54
2,"18/06/2016",1448,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,36
2,"14/06/2016",20,"Unclassified","dry",7,"Dark","Fine without high winds",9,1,3,1,37
2,"20/06/2016",1734,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,27
2,"20/06/2016",1734,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,31
2,"20/06/2016",1734,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,24
1,"24/06/2016",115,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,2,1,24
2,"24/06/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,20
2,"26/06/2016",1200,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,44
2,"26/06/2016",1245,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,54
1,"28/06/2016",1607,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,3,3,2,16
1,"28/06/2016",2344,"A","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,34
1,"30/06/2016",1211,"Unclassified","dry",1,"Daylight","Fine without high winds",19,3,3,2,79
2,"03/07/2016",820,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,67
2,"04/07/2016",1054,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,39
3,"04/07/2016",2315,"Unclassified","Wet/Damp",4,"Dark","Raining without high winds",9,3,2,1,21
1,"05/07/2016",1524,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,6
1,"08/07/2016",330,"A","dry",4,"Dark","Fine without high winds",19,2,3,1,26
2,"06/07/2016",800,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,27
1,"08/07/2016",1134,"B","Wet/Damp",1,"Daylight","Fine without high winds",3,1,3,1,21
2,"09/07/2016",1155,"A","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,30
1,"09/07/2016",1520,"A","dry",1,"Daylight","Fine without high winds",11,2,3,2,53
1,"09/07/2016",2135,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,3,2,1,52
2,"10/07/2016",1310,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,40
3,"10/07/2016",1548,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,42
2,"11/07/2016",1630,"A","dry",1,"Daylight","Fine without high winds",4,1,2,1,75
2,"11/07/2016",1812,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,2,1,10
4,"12/07/2016",945,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,76
4,"12/07/2016",945,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,21
2,"14/07/2016",822,"A","dry",1,"Daylight","Fine without high winds",3,1,3,2,45
2,"15/07/2016",752,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,11
2,"15/07/2016",1328,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,53
2,"15/07/2016",1328,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,19
2,"15/07/2016",1328,"A","dry",1,"Daylight","Fine without high winds",8,1,3,1,53
2,"16/07/2016",305,"motorway","Wet/Damp",4,"Dark","Raining with high winds",21,1,3,1,51
2,"16/07/2016",305,"motorway","Wet/Damp",4,"Dark","Raining with high winds",11,1,2,1,35
2,"16/07/2016",305,"motorway","Wet/Damp",4,"Dark","Raining with high winds",11,2,2,1,22
2,"16/07/2016",1609,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,2
2,"16/07/2016",1609,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,6
3,"16/07/2016",2145,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,1,43
2,"17/07/2016",1316,"A","dry",1,"Daylight","Fine without high winds",1,1,1,1,32
2,"17/07/2016",1316,"A","dry",1,"Daylight","Fine without high winds",1,1,2,1,61
2,"18/07/2016",1825,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,38
2,"19/07/2016",755,"A","dry",1,"Daylight","Fine without high winds",11,2,3,2,49
2,"19/07/2016",1730,"Unclassified","dry",1,"Daylight","Fine without high winds",19,2,3,2,20
2,"18/07/2016",1839,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,36
2,"18/07/2016",1839,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,7
2,"18/07/2016",1839,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,8
2,"21/07/2016",945,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,12
2,"22/07/2016",2220,"A","dry",4,"Dark","Fine without high winds",4,3,3,1,36
1,"23/07/2016",1403,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,31
1,"23/07/2016",1403,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,1
2,"23/07/2016",1340,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,49
2,"24/07/2016",131,"A","dry",1,"Daylight","Fine without high winds",19,1,2,1,26
2,"24/07/2016",131,"A","dry",1,"Daylight","Fine without high winds",19,2,3,2,15
2,"24/07/2016",131,"A","dry",1,"Daylight","Fine without high winds",8,1,3,1,43
2,"24/07/2016",131,"A","dry",1,"Daylight","Fine without high winds",19,2,3,2,20
2,"24/07/2016",1234,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,22
2,"26/07/2016",639,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,44
2,"26/07/2016",750,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,33
2,"26/07/2016",750,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,37
2,"27/07/2016",1110,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,27
2,"28/07/2016",1015,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,53
2,"28/07/2016",1015,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,68
3,"28/07/2016",1618,"motorway","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,21
3,"29/07/2016",1850,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,24
3,"29/07/2016",1850,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,2
1,"29/07/2016",2018,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,20
1,"29/07/2016",2018,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,17
1,"30/07/2016",522,"A","dry",1,"Daylight","Fine without high winds",9,3,2,2,20
2,"05/08/2016",1450,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,20
2,"05/08/2016",1450,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,27
2,"05/08/2016",1730,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,46
1,"07/08/2016",57,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,2,1,34
1,"07/08/2016",57,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,2,1,20
1,"07/08/2016",57,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,2,1,24
1,"07/08/2016",1732,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,2,1,14
2,"09/08/2016",1825,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,20
2,"09/08/2016",1825,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,14
1,"10/08/2016",120,"A","Wet/Damp",4,"Dark","Raining without high winds",5,1,1,1,21
2,"11/08/2016",1755,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,37
2,"11/08/2016",1815,"Unclassified","dry",1,"Daylight","Fine without high winds",22,1,3,1,50
1,"12/08/2016",1600,"Unclassified","dry",1,"Daylight","Fine without high winds",2,3,3,1,64
1,"13/08/2016",45,"A","Wet/Damp",4,"Dark","Raining without high winds",8,3,2,1,38
2,"14/08/2016",1655,"A","dry",1,"Daylight","Fine without high winds",1,1,2,1,51
2,"15/08/2016",2110,"B","dry",4,"Dark","Fine without high winds",5,1,3,2,35
2,"16/08/2016",1720,"B","dry",1,"Daylight","Fine without high winds",11,2,3,1,13
2,"16/08/2016",1720,"B","dry",1,"Daylight","Fine without high winds",11,2,3,2,34
2,"16/08/2016",1720,"B","dry",1,"Daylight","Fine without high winds",11,2,3,2,17
2,"16/08/2016",1720,"B","dry",1,"Daylight","Fine without high winds",11,2,3,1,60
2,"17/08/2016",1135,"Unclassified","dry",1,"Daylight","Fine without high winds",11,3,3,1,48
2,"18/08/2016",735,"B","dry",1,"Daylight","Fine without high winds",3,1,3,1,51
1,"18/08/2016",1932,"A","dry",1,"Daylight","Fine without high winds",19,1,3,1,32
2,"19/08/2016",1120,"A","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,27
4,"19/08/2016",1904,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,23
2,"19/08/2016",2314,"A","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,20
2,"19/08/2016",2314,"A","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,2,18
3,"21/08/2016",1815,"Unclassified","dry",1,"Daylight","Fine without high winds",2,1,3,1,12
3,"21/08/2016",1815,"Unclassified","dry",1,"Daylight","Fine without high winds",2,1,3,1,13
2,"21/08/2016",2250,"Unclassified","dry",4,"Dark","Unknown",9,1,3,1,34
3,"23/08/2016",2054,"A","dry",4,"Dark","Fine without high winds",9,1,2,1,26
3,"23/08/2016",2054,"A","dry",4,"Dark","Fine without high winds",9,2,2,1,25
3,"23/08/2016",2054,"A","dry",4,"Dark","Fine without high winds",9,1,2,2,54
2,"23/08/2016",1620,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,40
2,"24/08/2016",2220,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,46
1,"25/08/2016",1701,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",19,3,3,2,50
2,"26/08/2016",1835,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,36
2,"26/08/2016",1835,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,19
2,"26/08/2016",1835,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,15
3,"28/08/2016",1830,"A","dry",1,"Daylight","Fine without high winds",9,1,2,1,49
3,"28/08/2016",1830,"A","dry",1,"Daylight","Fine without high winds",9,2,2,2,28
3,"28/08/2016",1830,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,58
2,"29/08/2016",1910,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,45
2,"29/08/2016",1910,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,30
2,"29/08/2016",1910,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,24
1,"30/08/2016",700,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,32
1,"29/08/2016",1330,"Unclassified","dry",1,"Daylight","Fine without high winds",17,1,3,1,28
2,"03/09/2016",1528,"B","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,37
2,"03/09/2016",1528,"B","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,36
2,"03/09/2016",1550,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,26
1,"03/09/2016",2213,"A","Wet/Damp",1,"Daylight","Raining without high winds",9,3,2,1,60
2,"06/09/2016",1439,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,85
2,"06/09/2016",2040,"A","dry",4,"Dark","Fine without high winds",9,1,1,1,30
2,"06/09/2016",2040,"A","dry",4,"Dark","Fine without high winds",9,2,1,2,26
1,"07/09/2016",1131,"A","dry",1,"Daylight","Fine without high winds",11,2,3,2,65
1,"09/09/2016",1119,"Unclassified","dry",1,"Daylight","Fine without high winds",8,3,3,1,61
1,"09/09/2016",1700,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,55
2,"10/09/2016",2035,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,9
2,"11/09/2016",1715,"A","dry",1,"Daylight","Fine without high winds",9,1,2,1,28
2,"11/09/2016",2007,"A","dry",4,"Dark","Fine without high winds",9,2,2,1,19
2,"11/09/2016",2007,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,35
2,"13/09/2016",1144,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,47
3,"13/09/2016",1905,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,14
2,"14/09/2016",1910,"A","dry",1,"Daylight","Fine without high winds",1,1,3,2,52
2,"15/09/2016",820,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,60
2,"15/09/2016",1840,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,14
2,"16/09/2016",1108,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,52
2,"16/09/2016",1108,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,55
1,"17/09/2016",1315,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,1
3,"19/09/2016",1514,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,26
1,"19/09/2016",1645,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,55
2,"20/09/2016",1655,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,63
1,"22/09/2016",1613,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,11
2,"23/09/2016",1125,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,56
1,"23/09/2016",1310,"A","dry",1,"Daylight","Fine without high winds",19,3,3,1,19
2,"26/09/2016",1529,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",2,1,3,1,16
2,"28/09/2016",810,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,55
2,"28/09/2016",2019,"A","dry",4,"Dark","Fine without high winds",1,1,2,1,37
2,"29/09/2016",2200,"B","dry",4,"Dark","Fine without high winds",9,1,1,1,18
2,"29/09/2016",2200,"B","dry",4,"Dark","Fine without high winds",9,2,3,1,72
1,"01/10/2016",1529,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,24
2,"01/10/2016",2255,"A","dry",4,"Dark","Fine without high winds",9,1,3,2,18
1,"03/10/2016",945,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,43
2,"03/10/2016",1330,"A","dry",1,"Daylight","Other",9,2,3,2,11
1,"03/10/2016",1337,"B","dry",1,"Daylight","Fine without high winds",9,3,3,2,35
2,"04/10/2016",700,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,51
1,"05/10/2016",845,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,13
2,"05/10/2016",1555,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,23
2,"09/10/2016",1945,"Unclassified","dry",4,"Dark","Fine without high winds",3,1,3,1,23
1,"06/10/2016",858,"Unclassified","dry",1,"Daylight","Fine without high winds",10,3,3,1,5
2,"08/10/2016",458,"motorway","dry",4,"Dark","Fine without high winds",9,1,3,1,28
2,"08/10/2016",1121,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,62
2,"08/10/2016",1121,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,54
2,"08/10/2016",1121,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,48
2,"08/10/2016",1153,"B","Wet/Damp",1,"Daylight","Fine without high winds",19,1,3,1,38
2,"08/10/2016",1153,"B","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,29
2,"08/10/2016",1153,"B","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,25
2,"15/10/2016",1605,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,86
2,"16/10/2016",1821,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,22
2,"16/10/2016",1821,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,24
1,"18/10/2016",1335,"A","Wet/Damp",1,"Daylight","Raining without high winds",9,3,3,1,51
2,"18/10/2016",1740,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,48
2,"18/10/2016",1905,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,2,10
2,"18/10/2016",1905,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,2,32
2,"19/10/2016",1915,"Unclassified","dry",4,"Dark","Fine without high winds",8,2,3,2,20
2,"21/10/2016",1216,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,72
1,"22/10/2016",930,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,78
2,"26/10/2016",739,"A","dry",1,"Daylight","Fine without high winds",1,1,2,1,46
1,"26/10/2016",1012,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,79
1,"26/10/2016",1125,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,49
2,"26/10/2016",1700,"A","dry",1,"Daylight","Fine without high winds",4,1,3,1,33
4,"27/10/2016",1735,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,20
1,"26/10/2016",2150,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,1,40
1,"28/10/2016",1300,"Unclassified","dry",1,"Daylight","Fine without high winds",19,3,3,1,25
2,"31/10/2016",1740,"Unclassified","dry",1,"Daylight","Fine without high winds",11,2,3,1,64
1,"31/10/2016",1800,"A","dry",4,"Dark","Fine without high winds",9,3,3,1,27
2,"02/11/2016",2250,"A","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,2,52
2,"04/11/2016",726,"B","dry",1,"Daylight","Fine without high winds",3,1,2,1,21
2,"04/11/2016",1000,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,41
2,"04/11/2016",1340,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,44
1,"27/10/2016",900,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,74
3,"09/11/2016",540,"motorway","Snow",4,"Dark","Snowing without high winds",8,1,3,1,58
2,"10/11/2016",1610,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,2,36
1,"10/11/2016",1805,"A","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,2,22
2,"10/11/2016",1245,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,82
2,"10/11/2016",1420,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,25
1,"12/11/2016",1250,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,38
2,"12/11/2016",2330,"A","dry",4,"Dark","Fine without high winds",9,2,3,1,15
2,"12/11/2016",2330,"A","dry",4,"Dark","Fine without high winds",9,1,3,2,19
2,"14/11/2016",1717,"A","Wet/Damp",4,"Dark","Fine without high winds",1,1,3,1,54
2,"14/11/2016",1858,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,50
2,"14/11/2016",1858,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,2,22
2,"16/11/2016",1205,"A","Wet/Damp",1,"Daylight","Fine without high winds",1,1,3,1,24
2,"20/11/2016",1440,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,48
2,"20/11/2016",1440,"motorway","dry",1,"Daylight","Fine without high winds",9,2,3,2,49
2,"20/11/2016",1440,"motorway","dry",1,"Daylight","Fine without high winds",9,2,3,2,17
2,"21/11/2016",720,"Unclassified","Wet/Damp",4,"Dark","Raining without high winds",3,1,3,1,26
1,"21/11/2016",1800,"Unclassified","Wet/Damp",4,"Dark","Raining with high winds",9,3,3,2,24
2,"21/11/2016",1454,"A","dry",7,"Dark","Fine without high winds",9,1,3,2,47
2,"21/11/2016",1454,"A","dry",7,"Dark","Fine without high winds",9,2,3,2,16
3,"24/11/2016",1123,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,30
1,"25/11/2016",1730,"A","dry",4,"Dark","Fine without high winds",9,3,3,2,33
1,"26/11/2016",1726,"B","dry",1,"Daylight","Fine without high winds",9,3,3,1,69
2,"26/11/2016",1430,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,41
3,"28/11/2016",1400,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,61
2,"23/11/2016",1700,"A","dry",4,"Dark","Fine without high winds",9,1,3,2,81
1,"29/11/2016",539,"A","Wet/Damp",4,"Dark","Fine without high winds",21,3,2,2,52
1,"29/11/2016",1415,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,87
1,"29/11/2016",1415,"A","dry",1,"Daylight","Fine without high winds",9,2,2,2,87
1,"28/11/2016",1530,"Unclassified","dry",1,"Daylight","Fine without high winds",90,3,3,1,39
3,"29/11/2016",1629,"A","dry",1,"Daylight","Fine without high winds",19,1,3,1,48
3,"29/11/2016",1629,"A","dry",1,"Daylight","Fine without high winds",19,1,3,1,40
1,"30/11/2016",1128,"A","dry",1,"Daylight","Fine without high winds",9,3,2,2,82
2,"30/11/2016",1312,"A","Wet/Damp",1,"Daylight","Fine without high winds",19,1,3,1,66
3,"30/11/2016",1625,"motorway","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,45
2,"01/12/2016",1650,"Unclassified","dry",4,"Dark","Fine without high winds",1,1,3,1,36
2,"01/12/2016",1630,"B","Wet/Damp",4,"Dark","Fine without high winds",9,2,2,1,29
2,"01/12/2016",1630,"B","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,1,39
2,"01/12/2016",1630,"B","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,1,29
1,"02/12/2016",904,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,72
2,"02/12/2016",1511,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,43
1,"03/12/2016",836,"B","Wet/Damp",1,"Daylight","Fine without high winds",8,1,3,1,38
2,"04/12/2016",1134,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,33
1,"04/12/2016",1330,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,1,1,80
1,"06/12/2016",1115,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,82
2,"07/12/2016",1800,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,2,38
2,"08/12/2016",1815,"Unclassified","dry",4,"Dark","Fine without high winds",1,1,3,1,29
2,"08/12/2016",1615,"motorway","Wet/Damp",4,"Dark","Fog or mist - if hazard",9,2,2,1,36
1,"08/12/2016",1829,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,1,21
2,"08/12/2016",2058,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,2,35
2,"08/12/2016",2058,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,2,49
2,"08/12/2016",2058,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,2,7
2,"08/12/2016",2058,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,1,18
1,"09/12/2016",2045,"A","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,43
2,"11/12/2016",2115,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,2,51
2,"11/12/2016",2115,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,2,45
1,"12/12/2016",1318,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,2,2,72
3,"14/12/2016",2039,"A","dry",4,"Dark","Fine without high winds",9,1,1,1,29
3,"15/12/2016",1609,"motorway","dry",4,"Dark","Fine without high winds",9,1,3,1,53
2,"14/12/2016",1800,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,2,59
2,"16/12/2016",1730,"A","dry",4,"Dark","Fine without high winds",5,1,3,1,50
1,"16/12/2016",2238,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,1,15
2,"18/12/2016",405,"A","dry",4,"Dark","Fine without high winds",8,1,3,1,32
2,"18/12/2016",1700,"A","dry",4,"Dark","Fine without high winds",5,1,3,1,33
1,"19/12/2016",1000,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,34
2,"19/12/2016",1643,"A","Wet/Damp",4,"Dark","Fine without high winds",3,1,3,1,17
2,"19/12/2016",1710,"A","Wet/Damp",4,"Dark","Fine without high winds",3,1,3,1,17
1,"22/12/2016",1555,"A","dry",1,"Daylight","Fine without high winds",8,3,3,1,82
2,"23/12/2016",1800,"Unclassified","Wet/Damp",4,"Dark","Raining with high winds",9,1,3,1,22
1,"23/12/2016",2050,"A","Wet/Damp",4,"Dark","Raining without high winds",8,3,2,1,26
2,"24/12/2016",1325,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,43
2,"24/12/2016",1325,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,1,15
2,"26/12/2016",2304,"Unclassified","dry",4,"Dark","Fine without high winds",8,2,2,2,26
2,"26/12/2016",2304,"Unclassified","dry",4,"Dark","Fine without high winds",8,1,2,1,66
4,"31/12/2016",2346,"Unclassified","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,27
3,"04/01/2015",1200,"A","Wet/Damp",1,"Daylight","Fine without high winds",1,1,3,1,18
3,"04/01/2015",1200,"A","Wet/Damp",1,"Daylight","Fine without high winds",1,1,3,1,19
1,"06/01/2015",1130,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",8,2,3,1,2
1,"07/01/2015",848,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",21,1,2,1,64
2,"07/01/2015",826,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,29
2,"09/01/2015",2335,"A","Frost/Ice",1,"Daylight","Fine without high winds",9,1,2,1,64
